symptom_column,display_name
abdominal_pain,Abdominal Pain
abnormal_menstruation,Abnormal Menstruation
acidity,Acidity
acute_liver_failure,Acute Liver Failure
altered_sensorium,Altered Sensorium
anxiety,Anxiety
back_pain,Back Pain
belly_pain,Belly Pain
blackheads,Blackheads
bladder_discomfort,Bladder Discomfort
blister,Blister
blood_in_sputum,Blood In Sputum
bloody_stool,Bloody Stool
blurred_and_distorted_vision,Blurred And Distorted Vision
breathlessness,Breathlessness
brittle_nails,Brittle Nails
bruising,Bruising
burning_micturition,Burning Micturition
chest_pain,Chest Pain
chills,Chills
cold_hands_and_feets,Cold Hands And Feets
coma,Coma
congestion,Congestion
constipation,Constipation
continuous_feel_of_urine,Continuous Feel Of Urine
continuous_sneezing,Continuous Sneezing
cough,Cough
cramps,Cramps
dark_urine,Dark Urine
dehydration,Dehydration
depression,Depression
diarrhoea,Diarrhoea
dischromic__patches,Dischromic  Patches
distention_of_abdomen,Distention Of Abdomen
dizziness,Dizziness
drying_and_tingling_lips,Drying And Tingling Lips
enlarged_thyroid,Enlarged Thyroid
excessive_hunger,Excessive Hunger
extra_marital_contacts,Extra Marital Contacts
family_history,Family History
fast_heart_rate,Fast Heart Rate
fatigue,Fatigue
fluid_overload,Fluid Overload
foul_smell_of_urine,Foul Smell Of Urine
headache,Headache
high_fever,High Fever
hip_joint_pain,Hip Joint Pain
history_of_alcohol_consumption,History Of Alcohol Consumption
increased_appetite,Increased Appetite
indigestion,Indigestion
inflammatory_nails,Inflammatory Nails
internal_itching,Internal Itching
irregular_sugar_level,Irregular Sugar Level
irritability,Irritability
irritation_in_anus,Irritation In Anus
itching,Itching
joint_pain,Joint Pain
knee_pain,Knee Pain
lack_of_concentration,Lack Of Concentration
lethargy,Lethargy
loss_of_appetite,Loss Of Appetite
loss_of_balance,Loss Of Balance
loss_of_smell,Loss Of Smell
malaise,Malaise
mild_fever,Mild Fever
mood_swings,Mood Swings
movement_stiffness,Movement Stiffness
mucoid_sputum,Mucoid Sputum
muscle_pain,Muscle Pain
muscle_wasting,Muscle Wasting
muscle_weakness,Muscle Weakness
nausea,Nausea
neck_pain,Neck Pain
nodal_skin_eruptions,Nodal Skin Eruptions
obesity,Obesity
pain_behind_the_eyes,Pain Behind The Eyes
pain_during_bowel_movements,Pain During Bowel Movements
pain_in_anal_region,Pain In Anal Region
painful_walking,Painful Walking
palpitations,Palpitations
passage_of_gases,Passage Of Gases
patches_in_throat,Patches In Throat
phlegm,Phlegm
polyuria,Polyuria
prominent_veins_on_calf,Prominent Veins On Calf
puffy_face_and_eyes,Puffy Face And Eyes
pus_filled_pimples,Pus Filled Pimples
receiving_blood_transfusion,Receiving Blood Transfusion
receiving_unsterile_injections,Receiving Unsterile Injections
red_sore_around_nose,Red Sore Around Nose
red_spots_over_body,Red Spots Over Body
redness_of_eyes,Redness Of Eyes
restlessness,Restlessness
runny_nose,Runny Nose
rusty_sputum,Rusty Sputum
scurring,Scurring
shivering,Shivering
silver_like_dusting,Silver Like Dusting
sinus_pressure,Sinus Pressure
skin_peeling,Skin Peeling
skin_rash,Skin Rash
slurred_speech,Slurred Speech
small_dents_in_nails,Small Dents In Nails
spinning_movements,Spinning Movements
spotting__urination,Spotting  Urination
stiff_neck,Stiff Neck
stomach_bleeding,Stomach Bleeding
stomach_pain,Stomach Pain
sunken_eyes,Sunken Eyes
sweating,Sweating
swelled_lymph_nodes,Swelled Lymph Nodes
swelling_joints,Swelling Joints
swelling_of_stomach,Swelling Of Stomach
swollen_blood_vessels,Swollen Blood Vessels
swollen_extremeties,Swollen Extremeties
swollen_legs,Swollen Legs
throat_irritation,Throat Irritation
toxic_look_(typhos),Toxic Look (Typhos)
ulcers_on_tongue,Ulcers On Tongue
unsteadiness,Unsteadiness
visual_disturbances,Visual Disturbances
vomiting,Vomiting
watering_from_eyes,Watering From Eyes
weakness_in_limbs,Weakness In Limbs
weakness_of_one_body_side,Weakness Of One Body Side
weight_gain,Weight Gain
weight_loss,Weight Loss
yellow_crust_ooze,Yellow Crust Ooze
yellow_urine,Yellow Urine
yellowing_of_eyes,Yellowing Of Eyes
yellowish_skin,Yellowish Skin
